Matematyka SA S1 4PTN,Polski SA S1 4PTN,Angielski SA S1 4PTN,Angielski SA S1 4PTN,Angielski SA S1 3PTN
WF SA S1 4PTN,WF SA S1 4PTN,Matematyka SA S1 3PTN,WF SA S1 3PTN,"Matematyka SA S1 4PTN,"
WF SA S1 3PTN,Matematyka SA S1 4PTN,WF SA S1 4PTN,Matematyka SA S1 3PTN,"Python SA S1 4PTN,"
Netbeans SA S1 4PTN,Netbeans SA S1 4PTN,Niemiecki SA S1 4PTN,Netbeans SA S1 4PTN,Netbeans SA S1 3PTN
Polski SA S1 4PTN,Netbeans SA S1 3PTN,Mobilne SA S1 4PTN,Netbeans SA S1 3PTN,WF SA S1 3PTN
